1,预先核准的企业名称保留期为_____个月。,A.3      B.6      C.12,3,B,无,19,1
1,国家工商总局在精简营业执照样式上坚持了大幅度合并营业执照种类，统一规格，将各类市场主体原有的15种营业执照样式统一为____种。,A.10     B.6  C.8    D.7,4,C,无,19,1
1,旧版执照的使用期限至______。,A.2014年12月31日        B.2015年2月28日 C.2015年12月31日     D.2016年2月28日,4,B,无,19,1
1,企业名称中的行政区划是指本企业所在地________以上行政区划的名称或地名。,A.乡（镇）    B.县级     C.市级,3,B,无,19,1
1,注册资本登记制度改革后，公司______不再作为工商登记事项。,A.实收资本    B.注册资本   C.认缴资本    D.实物,4,A,无,19,1
1,下列哪种不是抽查的方式。,A.书面检查  B.定向检查   C.实地检查 D.专项核查   E.网络监测,5,B,无,19,1
1,申请开办组成形式为家庭经营的个体工商户，其申请人为     。,"A.家庭成员中的任一人   B.家庭成员共同选举的代表 
C. 该家庭的户主      D.主持经营者",4,D,无,19,1
1,新版执照二维码印在什么位置    。,A.左下方      B.右下方      C.右上方   D.左上方,4,A,无,19,1
1,个体工商户的成立日期为_____。,"A.打印营业执照的日期    B.申请人收到营业执照的日期    
C.登记机关核准人签名日期",3,C,无,19,1
1,合伙企业的名称不可以使用____以下字样。,A.经营部   B.有限责任  C.厂      D.商店,4,B,无,19,1
1,个人经营的个体工商户改变经营者时，应办理_____手续。,A.歇业手续 B.注销登记 C.重新登记 D.变更登记,4,B,无,19,1
1,个人独资企业投资人在申请设立登记时明确以其家庭财产作为个人出资的，应当依法以家庭共有财产对企业债务承担__ 。,A. 无限责任 B.无限连带责任 C.有限责任 D.全部责任,4,A,无,19,1
1,下列字样中可作为名称中的字号使用的是   。,A．中华 B．中正 C．中南海 D．东海阳光,4,D,无,19,1
1,个人独资企业的财产属于____。,A.企业所有 B.投资人个人所有 C.企业与投资人共有 D.投资人选择以上任意一种,4,B,无,19,1
1,下列_____不是合伙协议应载明的事项。,A.合伙人的姓名和住所 B.合伙企业事务的执行 C.入伙与退伙 D.合伙人对企业债务的承担方式 ,4,D,无,19,1
1,合伙企业的成立日期为_____。,"A.营业执照的签发日期     B.合伙协议约定的日期 
C.企业提交设立申请之日   D.登记机关受理的日期",4,A,无,19,1
1,改革市场主体住所(经营场所)登记条件_______,A.由地方人民政府制定   B.由省工商行政管理局制定  C.由县级工商行政管理局制定  D.各省.自治区.直辖市人民政府可以自行或者授权下级人民政府作出具体规定。,4,D,无,19,1
1,下列关于 一人有限责任公司的说法正确的是：,"A.注册资本最低限额为人民币3万元
B.一个自然人只能投资设立一个一人有限责任公司
C.所有一人有限责任公司均能投资设立新的一人有限责任公司 
D.股东以实缴资本承担有限责任",4,B,无,19,1
1,有限责任公司的自然人股东死亡后，其合法继承人继承股东资格的，公司应当依法申请    。,A.注销登记      B. 变更登记     C.备案登记     D.无须登记,4,B,无,19,1
1,对未按规定期限公示年度报告的企业，由    在市场主体信用信息公示系统上将其载入经营异常名录，提醒其履行年度报告公示义务。,A.县级人民政府 B.前置审批部门 C.工商行政管理部门   D.行业协会,4,C,无,19,1
1,在案件调查过程中，发现当事人前后两次的询问笔录存在前后不一致的情形，应怎么处理,"A.无需处理再向当事人核实，执法人员觉得哪种说法更有利于办案就可以采信哪种，反正都是当事人说过的。
B.无需再向当事人核实，由执法人员根据提取的证据判断哪种说法是真实的。
C.应当向当事人核实，并要求当事人举证或进行合理解释再进行判断。
D.应当向当事人核实，以当事人的陈述为准。",4,C,无,19,1
1,新修订的《消费者权益保护法》于〔   〕起实施。,A.2013年10月25日B.2013年1月1日C.2014年1月1日 D.2014年3月15日,4,D,无,19,1
1,消费者为〔  〕消费需要购买.使用商品或者接受服务，其权益受本法保护；本法未作规定的，受其他有关法律.法规保护。, A.生产B.生活C.生产和生活D.个人,4,B,无,19,1
1,新修定的《消费者权益保护法》倡导〔  〕消费方式，反对浪费。,A.文明健康节约资源和保护环境的 B.文明健康节约资源的 C.健康节约资源和保护环境的 D.文明节约资源和保护环境的,4,A,无,19,1
1,4.我国新修订的《消费者权益保护法》中，消费者享有的权利有。〔  〕,A.8项   B.9项   C.10项   D.7项,4,B,无,19,1
1,《消费者权益保护法》使用调整的对象是下列哪项〔  〕,  A.消费者为生产需要购买，使用商品或接受服务时所发生的法律关系。B.商家为经营需要而发生的购销关系。C.消费者为生活消费需要购买，使用商品或者接受服务而发生的法律关系。D.消费者为营利而进行的购销活动,4,C,无,19,1
1,对于经营者的售后服务义务，国家根据某些商品的复杂性和特殊性规定了“三包”，下列中哪一项不属于“三包”的规定。〔  〕,A.包修  B.包换  C.包退   D.包赔,4,D,无,19,1
1,经营者应当保证其提供的商品或者服务符合保障人身.财产安全的要求，对〔  〕的商品，应当向消费者作出真实的说明和明确的警示，并说明和标明正确使用商品的方法以防止危害发生的方法,A.不合格  B.未经检验  C.数量不足  D.可能危及人身.财产安全,4,D,无,19,1
1,消费者因经营者利用虚假广告提供商品或者服务，其合法权益受到损害，可以向〔  〕要求赔偿。,A.生产者   B.广告发布者   C.经营者  D.生产者及广告发布者,4,C,无,19,1
1,大众传媒对损害消费者合法权益的行为进行。〔  〕,A.行政监督  B.社会监督  C.舆论监督  D.司法监督,4,C,无,19,1
1,经营者提供商品或服务，应向消费者出具发票等购货凭证或服务单据；消费者索要发票等购货凭证或服务单据的，经营者〔  〕出具。,A.必须  B.不一定   C.可以  D.视情况而定,4,A,无,19,1
1,经营者提供商品或者服务有欺诈行为的，应当按照消费者的要求增加赔偿其受到的损失，增加赔偿的金额为消费者购买商品的价款或接受服务的费用的〔  〕。,A.一倍  B.二倍  C.三倍  D.四倍,4,C,无,19,1
1,消费者向有关行政部门投诉的，该部门应当收到投诉之日起〔 〕个工作日内予以处理并告知消费者。,A.七   B.五  C.十五  D.十,4,A,无,19,1
