1,"<p>以下叙述中错误的是(&nbsp; )</p>","<p><br />
A)&nbsp; C语言中的每条可执行语句和非执行语句最终都将被转换成二进制的机器指令<br />
B)&nbsp; C程序经过编译、连接步骤之后才能形成一个真正可执行的二进制机器指令文件<br />
C)&nbsp; 用C语言编写的程序称为源程序，它以ASCII代码形式存放在一个文本文件中<br />
D)&nbsp; C语言源程序经编译后生成后缀为.obj的目标程序<br />
<br />
<br />
&nbsp;</p>",4,A,,1,1
1,"<p>下列叙述中错误的是( )</p>","<p><br />
A)&nbsp; C程序可以由多个程序文件组成<br />
B)&nbsp; 一个C语言程序只能实现一种算法<br />
C)&nbsp; C程序可以由一个或多个函数组成<br />
D)&nbsp; 一个C函数可以单独作为一个C程序文件存在<br />
&nbsp;<br />
&nbsp;</p>",4,B,,1,1
1,"<p>以下四个程序中，完全正确的是( )</p>","<p><br />
A)&nbsp;&nbsp; #include&nbsp; &lt;stdio.h&gt;<br />
main()；<br />
{/*/ programming /*/<br />
&nbsp;printf(&quot;programming！\\n&quot;)；}<br />
B)&nbsp; #include&nbsp; &lt;stdio.h&gt;<br />
main()<br />
{/* programming */&nbsp;&nbsp;&nbsp; &nbsp;<br />
&nbsp;printf(&quot;programming！\\n&quot;)； }<br />
C)&nbsp;&nbsp; #include&nbsp; &lt;stdio.h&gt;<br />
main()<br />
{/*/* programming */*/<br />
&nbsp;printf(&quot;programming！\\n&quot;)； }<br />
D)&nbsp; include&nbsp; &lt;stdio.h&gt;<br />
main()<br />
{/* programming */<br />
&nbsp;printf(&quot;programming！\\n&quot;)； }<br />
&nbsp;<br />
<br />
&nbsp;</p>",4,B,,1,2
1,"<p>以下选项中不合法的标识符是( )</p>","<p><br />
A)&nbsp; &amp;a<br />
B)&nbsp; FOR<br />
C)&nbsp; print<br />
D)&nbsp; 00<br />
&nbsp;<br />
<br />
&nbsp;</p>",4,A,,2,1
1,"<p>按照C语言规定的用户标识符命名规则，不能出现在标识符中的是( )</p>","<p><br />
A)&nbsp; 大写字母<br />
B)&nbsp; 下划线<br />
C)&nbsp; 数字字符<br />
D)&nbsp; 连接符<br />
&nbsp;<br />
&nbsp;</p>",4,D,,2,1
1,"<p>以下选项中，能用作用户标识符的是( )</p>","<p><br />
A)&nbsp; 0<br />
B)&nbsp; 8 8<br />
C)&nbsp; void<br />
D)&nbsp; unsigned<br />
&nbsp;<br />
&nbsp;</p>",4,A,,2,1
1,"<p>以下选项中，合法的一组C语言数值常量是( )</p>","<p><br />
A)&nbsp; 12. 0Xa23 4.5e0<br />
B)&nbsp; 028 .5e－3 －0xf<br />
C)&nbsp; .177 4e1.5 0abc<br />
D)&nbsp; 0x8A 10,000 3.e5<br />
&nbsp;<br />
&nbsp;</p>",4,A,,2,1
1,"<p>以下选项中，能用作数据常量的是( )。</p>","<p><br />
A)&nbsp; 115L<br />
B)&nbsp; 0118<br />
C)&nbsp; 1.5e1.5<br />
D)&nbsp; o115<br />
&nbsp;<br />
&nbsp;</p>",4,A,,2,1
1,"<p>C源程序中不能表示的数制是( )。</p>","<p><br />
A)&nbsp; 十六进制<br />
B)&nbsp; 八进制<br />
C)&nbsp; 十进制<br />
D)&nbsp; 二进制<br />
&nbsp;<br />
&nbsp;</p>",4,D,,2,1
1,"<p>有以下程序：<br />
#include&nbsp; &lt;stdio.h&gt;<br />
main()<br />
{ int s，t，A＝10； double B＝6；<br />
s＝sizeof(A)； t＝sizeof(B)；<br />
printf(&quot;%d，%d\\n&quot;，s，t)；<br />
}<br />
在VC6.0平台上编译运行，程序运行后的输出结果是( )。<br />
&nbsp;</p>","<p>A)&nbsp; 10,6<br />
B)&nbsp; 4,4<br />
C)&nbsp; 2,4<br />
D)&nbsp; 4,8</p>",4,D,,2,1
1,"<p>有以下程序：<br />
#include&nbsp; &lt;stdio.h&gt;<br />
main()<br />
{ char&nbsp; c1，c2；<br />
c1＝&#39;A&#39;＋&#39;8&#39;－&#39;4&#39;；<br />
c2＝&#39;A&#39;＋&#39;8&#39;－&#39;5&#39;；<br />
printf( &quot;%c，%d\\n&quot;，c1，c2)；<br />
}<br />
已知字母A的ASCII码为65，程序运行后的输出结果是( )。</p>","<p><br />
A)&nbsp; E,68<br />
B)&nbsp; D,69<br />
C)&nbsp; E，D<br />
D)&nbsp; 输出无定值<br />
&nbsp;<br />
&nbsp;</p>",4,A,,2,2
3,"<p>uewfywengwe ewuwiewuewg</p>","<p>po ewiewif ew we ygew ew ewweewg</p>",4,A,,38,2
